property_name,interval,overall_sentiment,trouble_points,suggestions
Allura Las Colinas Apartments,180_days,Mixed reviews with a common theme of poor management and maintenance issues,"[""Pest infestations (roaches, rats)"", ""Poor management responsiveness and blame-shifting"", ""Trash management issues"", ""Delay in returning security deposit"", ""Maintenance work orders not completed"", ""Filthy conditions in common areas""]","[""Implement more effective pest control measures to address roach and rat infestations"", ""Improve management communication and responsiveness to tenants' concerns"", ""Enhance cleanliness and trash management practices throughout the property"", ""Streamline the process for returning security deposits promptly"", ""Prioritize timely completion of maintenance work orders to enhance tenant satisfaction"", ""Implement regular cleaning schedules for common areas to maintain a higher standard of living""]"
Allura Las Colinas Apartments,365_days,"Mixed feelings with recurring issues of poor management, maintenance, cleanliness, and pest control, but some positive reviews mentioning the helpful leasing office staff and service team.","[""Persistent pest infestation issue (roach and rat problems) with ineffective pest control service"", ""Poor management response to maintenance requests, rude and neglectful staff"", ""Trash management issues leading to foul odors and uncleanliness in common areas"", ""Problems with security deposit refunds and predatory towing practices""]","{""Pest Control"": ""Invest in more effective pest control measures to address the roach and rat problems in units."", ""Staff Training"": ""Provide training to the management and staff on better customer service, responsiveness to tenant concerns, and maintenance issue resolution."", ""Trash Management"": ""Implement a more efficient and frequent trash collection schedule to prevent odors and cleanliness issues."", ""Security Deposit Process"": ""Ensure transparency in security deposit deductions and refunds to avoid disputes and improve trust with tenants.""}"
Arbors of Anderson Apartments,90_days,Mixed,"[""Predatory lease policies"", ""Misleading sales tactics"", ""Maintenance issues"", ""Poor cleanliness upon move-in"", ""Difficulty with pet accommodations"", ""High fees and charges""]","[""Review and update lease policies to be more tenant-friendly"", ""Provide more transparent and honest sales practices"", ""Implement better maintenance protocols to address issues promptly"", ""Ensure thorough cleaning and preparation of units before move-in"", ""Improve accommodation and policies for residents with pets"", ""Reevaluate fee structure to be more reasonable and justified""]"
Arbors of Anderson Apartments,120_days,"Mixed reviews with a majority being negative due to various issues with the management, hidden fees, misleading information, and overall poor living conditions.","[""Hidden fees and additional charges not disclosed upfront"", ""Poor maintenance and delayed repairs leading to living inconveniences"", ""Misleading information and false promises from leasing agents"", ""Inflexible lease break policy causing financial burden on tenants"", ""Lack of transparency in communication and lack of accountability""]","[""Improve transparency by disclosing all fees and charges upfront to potential tenants"", ""Prioritize maintenance requests and ensure timely repairs and move-in ready units"", ""Train leasing agents to provide accurate information and avoid misleading potential tenants"", ""Consider revising the lease break policy to provide more flexibility for tenants"", ""Enhance communication with tenants and address concerns promptly to improve overall satisfaction""]"
Arbors of Anderson Apartments,180_days,Mixed,"[""Predatory lease policies"", ""Misleading information from staff"", ""High fees for various services"", ""Poor maintenance and cleanliness issues"", ""Lack of transparency in rent increases""]","[""Implement a more tenant-friendly lease break policy"", ""Ensure staff provide accurate and transparent information to tenants"", ""Consider revising the fee structure to be more reasonable and transparent"", ""Prioritize maintenance and improve overall cleanliness of units and common areas"", ""Communicate rent increases clearly and provide valid justifications to tenants""]"
Arbors of Anderson Apartments,365_days,Mixed reviews with a strong negative sentiment towards management and lease practices.,"[""High pressure sales tactics"", ""Poor maintenance response times"", ""Misleading information during apartment tours"", ""Issues with security deposits"", ""Predatory lease practices"", ""Overpriced for the quality of the apartments""]","[""Improve maintenance response times and quality of repairs to address tenant issues promptly."", ""Be transparent during apartment tours and ensure that apartments match the features promised."", ""Review and revise lease policies to be more tenant-friendly and avoid predatory practices."", ""Enhance communication with tenants regarding rent payments and any associated fees to prevent misunderstandings."", ""Address security deposit refund issues promptly and fairly."", ""Consider pricing apartments based on their actual quality to provide better value for tenants.""]"
Austin Springs of Springboro,90_days,"The overall sentiment of the reviews is extremely positive. Residents are praising the staff members such as Lisa May, Alex, and Chris for their helpfulness, professionalism, and friendliness.",[],"Management can maintain the positive experience for residents by continuing to provide excellent customer service, being responsive to residents' needs, and ensuring the property amenities are well-maintained."
Austin Springs of Springboro,120_days,"Overall sentiment is extremely positive. Residents have expressed high satisfaction with the staff, amenities, and overall living experience.",[],"Management can continue to prioritize excellent customer service and maintain the high standard of amenities to ensure resident satisfaction. Additionally, they can consider highlighting the positive feedback from residents like Lisa May, Alex, and Chris Jemo in their marketing efforts."
Austin Springs of Springboro,180_days,"Most residents have a positive experience with Austin Springs of Springboro, praising the property and the staff, particularly Lisa and Alex.","[""Overpriced apartments that are not considered luxury"", ""Maintenance issues with delays and incomplete fixes"", ""Issues with cleanliness upon moving in"", ""Difficulty in breaking lease with manipulative behavior"", ""Gaps in communication and incorrect information provided""]","{""Overpriced apartments"": ""Management should reassess their pricing strategy to better align with the quality of the apartments and amenities provided."", ""Maintenance issues"": ""Management should improve the maintenance process by ensuring timely and thorough responses to residents' concerns."", ""Cleanliness concerns"": ""Management should prioritize thorough cleaning routines before new tenants move in to ensure a positive first impression."", ""Lease agreements"": ""Management should review their leasing policies to provide tenants with more flexibility and transparency."", ""Communication"": ""Management should focus on clear and accurate communication with residents to avoid misunderstandings and dissatisfaction.""}"
Austin Springs of Springboro,365_days,"Overall, residents seem to be very pleased with the property, mentioning the helpful and welcoming staff members like Lisa and Alex. However, there are some concerns highlighted by a significant negative review.","[""Overpriced apartments that are not considered luxury"", ""Manipulative behavior to force residents into resigning a lease"", ""Slow maintenance service and incomplete repairs"", ""Dirty conditions upon move-in"", ""Features not properly updated"", ""High turnover in front office staff"", ""Limited maintenance staff for the number of apartments""]","Management should consider addressing the overpricing of the apartments compared to the perceived luxury status, improve transparency in lease renewal practices, expedite maintenance services and ensure repairs are completed satisfactorily, enhance cleanliness standards during move-ins, invest in proper updates and maintenance of the property, work on staff retention to provide consistent service, and possibly consider hiring additional maintenance personnel to meet resident needs efficiently."
Bayside Arbors of Clearwater Apartments,90_days,"Mixed reviews with a general positive sentiment towards the staff and amenities, but recurring negative feedback on the application process and management communication.","[""Application process is prolonged and involves unnecessary details for some tenants."", ""Mixed feedback on the professionalism of the staff, specifically mentioning unprofessionalism and rudeness."", ""Complaints about added fees such as monthly admin fee, parking fee, key fob fee, etc."", ""Issues with maintenance and upkeep such as gate access, dirty pool, and poor grounds maintenance.""]","[""Streamline the application process to make it more efficient and customer-friendly."", ""Provide clear communication to applicants regarding the application status and reasons for denial."", ""Address the concerns about professionalism by providing training to staff members."", ""Reevaluate the additional fees to ensure transparency and fairness for tenants."", ""Improve maintenance services to ensure the premises are well-kept and amenities are in good condition.""]"
Bayside Arbors of Clearwater Apartments,120_days,"Mixed reviews with emphasis on excellent customer service but recurring issues with the application process, management communication, maintenance, cleanliness, and outdated appliances","[""Troublesome application process - prolonged, unnecessary questions, unclear communication, and refund issues"", ""Poor management communication and professionalism - rude behavior, lack of transparency, and unprofessional conduct"", ""Maintenance delays and quality - long wait times for repairs, outdated appliances, and cleanliness issues"", ""High fees including admin fee, parking fee, key fob fee, and internet package subscription"", ""Outdated apartments - old carpets, dirty windows, rusty appliances, and stained bathtub""]","{""Application Process"": ""Streamline the application process, provide clear communication, notify applicants promptly about the outcome, and ensure proper refund procedures"", ""Management"": ""Train staff on professionalism, enhance transparency, address rude behavior, and improve communication with tenants"", ""Maintenance"": ""Reduce repair times, upgrade appliances, improve cleanliness standards, and conduct regular inspections"", ""Fees"": ""Reevaluate fee structures, consider reducing unnecessary fees, and disclose all charges transparently"", ""Apartment Quality"": ""Upgrade outdated appliances, replace old carpets, clean windows regularly, and address maintenance issues promptly""}"
Bayside Arbors of Clearwater Apartments,180_days,"Mixed reviews, with a general positive sentiment towards the staff and amenities, but some negative feedback regarding the application process and management's communication.","[""Long and unpleasant application process with unnecessary questions"", ""Issues with management's communication and professionalism"", ""Old buildings with maintenance issues such as ants, cockroaches, and broken appliances"", ""High fees and unexpected charges"", ""Unmet promises regarding apartment features""]","[""Streamline the application process to make it more efficient and customer-friendly"", ""Improve communication and professionalism of management staff towards potential and current residents"", ""Address maintenance issues promptly and consider updating older appliances and fixtures"", ""Review and potentially revise fee structure to be more transparent and reasonable"", ""Ensure that promises made during the leasing process are kept to maintain trust and satisfaction""]"
Bayside Arbors of Clearwater Apartments,365_days,"Mixed reviews with a mix of positive and negative feedback. Some residents are satisfied with the staff and amenities, while others have encountered issues with maintenance, communication, and hidden fees.","[""Application process delays and lack of transparency in fees"", ""Maintenance issues taking weeks to resolve"", ""Management being pushy and rude and lack of communication"", ""Issues with cleanliness, pests, and amenities not functioning""]","[""Improve communication with potential tenants about fees and application process"", ""Address maintenance concerns promptly and efficiently"", ""Train staff to be more respectful and understanding towards residents' needs"", ""Enhance cleanliness, pest control, and ensure all amenities are in working condition""]"
Bradford Cary Luxury Apartments & Townhomes,90_days,"Mixed reviews with positive comments on staff and amenities, but consistent negative feedback on lack of upkeep and misrepresentation of amenities","[""Scamming tenants on security deposits"", ""Lack of working amenities (e.g., pool sticks missing, hot tub closed for months)"", ""Poor maintenance (e.g., broken air conditioning, roaches)"", ""Issues with deliveries going missing""]","Management should prioritize improving the maintenance of amenities, ensuring transparency in security deposit deductions, addressing pest control issues, and enhancing delivery processes to provide a better overall living experience for residents."
Bradford Cary Luxury Apartments & Townhomes,120_days,"Mixed reviews: positive comments on staff, amenities, and location, but major concerns about security deposit issues, lack of well-maintained amenities, and ongoing maintenance problems.","[""Scamming residents out of security deposits"", ""Non-functional or poorly maintained amenities (e.g. pool tables, hot tubs, golf simulator)"", ""HVAC issues in units"", ""Roach infestations"", ""Delivery issues"", ""Lack of proper maintenance in common areas""]","{""security_deposits"": ""Management should be transparent about deductions and ensure that residents are not unfairly charged. Implement a fair process for assessing damages and cleaning costs."", ""amenities_maintenance"": ""Regularly inspect and maintain all amenities to ensure they are functional and in good condition. Address resident concerns promptly and provide necessary equipment for shared amenities."", ""HVAC_issues"": ""Prioritize timely repairs for HVAC issues in units to ensure residents' comfort and well-being. Consider preventive maintenance to avoid recurring problems."", ""pest_control"": ""Implement a proactive pest control program to address roach infestations and maintain a clean living environment for residents."", ""delivery_system"": ""Improve the delivery system by providing clear instructions for drivers, better organization in the delivery room, and implementing measures to prevent missing packages."", ""common_area_maintenance"": ""Regularly maintain and clean common areas including hallways, ensuring a comfortable and inviting environment for all residents.""}"
Bradford Cary Luxury Apartments & Townhomes,180_days,"Mixed reviews with a general positive sentiment towards the staff and amenities, but negative feedback regarding maintenance issues, misrepresentation, and poor management practices.","[""Common complaints about maintenance issues such as broken air conditioning units and lack of upkeep in amenities like pool tables and hot tubs"", ""Misrepresentation of security deposit deductions and double utility billing"", ""Poor management practices including predatory sales tactics, lack of communication, and unprofessional behavior""]","Management should focus on improving maintenance response times, ensuring transparency with security deposit deductions and utility billing, and enhancing overall communication and professionalism with residents. Additionally, addressing the upkeep of amenities like pool tables and hot tubs would enhance the overall living experience for residents."
Bradford Cary Luxury Apartments & Townhomes,365_days,Mixed reviews with a combination of positive and negative feedback,"[""Misrepresentation of amenities and security deposit issues"", ""Lack of maintenance on amenities such as pool tables, hot tubs, and gym equipment"", ""Inconsistencies in communication and hidden costs""]","[""Improve transparency on fees and communicate them clearly to potential residents"", ""Ensure better maintenance of amenities and address issues promptly"", ""Enhance staff training in communication and customer service to avoid misunderstandings""]"
Carmel Center Apartments,90_days,Mixed,"[""Deceptive leasing agents not providing upfront information about fees and apartment condition"", ""New management receiving negative feedback, especially regarding decreased resident events and poor listening skills"", ""Moving out experience perceived negatively""]","{""Deceptive leasing practices"": ""Management should ensure transparency by providing all relevant information upfront to avoid surprises and build trust with potential residents."", ""New management concerns"": ""The new management should focus on improving resident satisfaction by reinstating community events, improving communication, and actively listening to residents' feedback."", ""Moving out experience"": ""Management should streamline the moving out process and ensure that departing residents have a positive final impression to enhance overall resident satisfaction.""}"
Carmel Center Apartments,120_days,Mixed feelings with a shift towards negative experiences due to recent changes in management.,"[""Deceptive leasing practices"", ""Poor communication and customer service from new management"", ""Issues with maintenance and amenities"", ""Unexpected additional fees and charges""]","[""Improve transparency in leasing information to avoid any deceptive practices"", ""Enhance communication and customer service training for the new management team"", ""Prioritize maintenance and upkeep of amenities for resident satisfaction"", ""Reevaluate fee structures to ensure clarity and fairness for residents""]"
Carmel Center Apartments,180_days,"Mixed reviews with a shift towards negative experiences after new management took over. Many residents mentioned issues with communication, hidden fees, quality of service, and maintenance.","[""Deceitful business practices regarding fees and lease renewal"", ""Poor communication and lack of transparency about additional charges"", ""Maintenance issues and delays"", ""Decline in the quality of services and amenities since new management"", ""Unresolved billing disputes and overcharging""]","[""Improve transparency and communication regarding fees, lease agreements, and any changes to services provided"", ""Address maintenance issues promptly and ensure quality service is maintained"", ""Consider reinstating resident events and amenities to improve the sense of community"", ""Review billing processes to prevent overcharging and ensure accuracy"", ""Provide proper training to staff members to enhance customer service and professionalism""]"
Carmel Center Apartments,365_days,Mixed feelings with a noticeable decline in satisfaction since new management took over. Previous positive experiences under old management no longer reflected under new ownership.,"[""Deceptive business practices regarding fees and apartment conditions"", ""Poor communication and transparency from management"", ""Maintenance issues taking too long to resolve"", ""Amenities not well-maintained, stocked, or kept clean"", ""Significant increase in rent and additional fees without opt-out options""]","[""Enhance transparency in communication about fees, apartment conditions, and changes in policies"", ""Improve maintenance response times and efficiency to address issues promptly"", ""Invest in better upkeep of amenities, such as stocking, cleanliness, and maintenance"", ""Reconsider rent increases and additional fees, provide clear options for opt-out where applicable"", ""Listen to resident feedback and actively work on improving overall resident experience and satisfaction""]"
City Walk at Woodbury Apartments,90_days,"The overall sentiment from the reviews is overwhelmingly positive, with residents expressing high levels of satisfaction with the staff, amenities, maintenance service, and overall living experience.",There are no major recurring negative feedback points in the reviews for the past 90 days.,"Management can continue to focus on maintaining excellent customer service, responding promptly to maintenance requests, and ensuring that the amenities are well maintained. Additionally, they can consider incorporating more unique and fun amenities to further enhance the living experience for residents."
City Walk at Woodbury Apartments,120_days,"The overall sentiment towards City Walk at Woodbury Apartments is extremely positive, with residents expressing high levels of satisfaction with the management, amenities, and overall experience of living there.","[""Claimed to be luxury apartments but did not meet expectations"", ""Negative renting experience""]","To address the negative feedback regarding the luxury claims, management should consider improving the quality of services or amenities to better align with luxury standards. Additionally, addressing any issues that contributed to negative renting experiences would help improve overall satisfaction among residents."
City Walk at Woodbury Apartments,180_days,"Overall, residents are very satisfied with living at City Walk Apartments, praising the friendly and helpful staff, the well-maintained amenities, and the comfortable living environment.","[""Inconsistent communication and follow-up from the management regarding maintenance requests, changes in leasing agreements, and other inquiries."", ""Issues with cleanliness and maintenance of common areas such as the trash room, elevator, and parking garage."", ""High additional fees, including resident billing service fees and parking costs, causing some residents to feel overcharged."", ""Delays in addressing and resolving maintenance issues such as broken locks, door frames, and other apartment infrastructure problems.""]","Management should focus on improving communication with residents by providing consistent and accurate information, timely follow-ups on reported issues, and better transparency on fees and charges. Enhancements in maintaining cleanliness and maintenance of common areas are also recommended. Addressing maintenance requests promptly, especially for critical infrastructure problems, will help improve resident satisfaction and overall living experience."
City Walk at Woodbury Apartments,365_days,"Overall, residents are happy with City Walk at Woodbury Apartments, praising the staff for their professionalism, friendliness, and attentiveness. The amenities and apartment layouts are well-liked, creating a comfortable and positive living environment.","[""Lack of transparency regarding application fees and potential need for cosigners"", ""Issues with communication and follow-up from management"", ""Concerns over additional charges for utilities, parking, and amenities"", ""Maintenance delays for repairs and property upkeep"", ""Potential security and safety concerns""]","[""Ensure transparent communication with potential tenants regarding all fees, requirements, and lease terms upfront"", ""Improve communication and follow-up procedures to address resident inquiries and concerns promptly"", ""Reevaluate pricing structure for utilities, parking, and amenities to ensure fair and competitive rates"", ""Enhance maintenance response times and property upkeep standards to provide a better living experience"", ""Address any security issues promptly and ensure residents feel safe within the community""]"
Cross Creek at Murfreesboro Apartments,90_days,Mixed,"[""Misleading pricing and hidden fees"", ""Maintenance issues"", ""Poor communication and transparency""]","{""pricing_transparency"": ""Ensure clear and transparent communication regarding pricing, fees, and any additional charges"", ""maintenance_improvement"": ""Address maintenance issues promptly and ensure the pool and amenities are well-maintained"", ""improve_communication"": ""Enhance communication with residents to build trust and provide accurate information""}"
Cross Creek at Murfreesboro Apartments,120_days,"Overall, residents seem to appreciate the helpful and friendly staff, particularly mentioning Kendall and Haylee. However, there are concerns raised regarding transparency in communication and billing, as well as maintenance issues.","[""Lack of transparency in communication and contract explanations"", ""Issues with maintenance responsiveness and quality"", ""Unexpected additional charges and unclear billing practices""]","Management should focus on improving transparency in communication with residents, ensuring clear explanations of contracts and fees. Additionally, they should address maintenance concerns promptly and improve the quality of service provided. Clear communication and transparent billing practices are key to building trust with residents."
Cross Creek at Murfreesboro Apartments,180_days,Mixed,"[""Misleading information about costs and contracts"", ""Inconsistencies in communication"", ""Maintenance delays and issues"", ""Unresponsive or unhelpful staff in some cases"", ""Quality of amenities such as pool and gates""]","[""Provide clear and transparent information about all costs and terms of the contract to avoid any misunderstandings"", ""Improve communication consistency and ensure all staff members are well-trained to address tenant concerns effectively"", ""Address maintenance delays promptly and ensure issues are resolved efficiently"", ""Train staff to be more responsive and helpful to tenant inquiries and issues"", ""Invest in improving the quality of amenities such as the pool and security gates to enhance the overall living experience""]"
Cross Creek at Murfreesboro Apartments,365_days,Unable to parse JSON from response.,[],[]
Cypress at Stone Oak Apartments,90_days,"The overall sentiment towards Cypress at Stone Oak Apartments is extremely positive, with residents highlighting the professionalism and friendliness of the leasing office staff, the well-maintained property, and the peaceful atmosphere.",,Management can continue to prioritize exceptional customer service and maintaining the high standards of cleanliness and maintenance to keep residents satisfied. Encouraging staff to maintain the current level of professionalism and knowledge will contribute to providing a positive living experience for all residents.
Cypress at Stone Oak Apartments,120_days,"The overall sentiment of the reviews is mixed, with positive feedback about the property, staff, and cleanliness, but negative feedback about maintenance issues, odor problems, hidden fees, and rent increases.","[""Bad odor in buildings"", ""Pool and hot tub maintenance issues"", ""Problems with getting security deposit back"", ""Hidden fees not disclosed in the lease agreement"", ""Substantial rent increase upon lease renewal""]","Management should address the odor issues in the buildings by implementing proper cleaning and maintenance procedures. They should also improve pool and hot tub maintenance to ensure a clean and safe environment for residents. Transparency regarding fees is crucial, and hidden fees should be clearly disclosed in the lease agreement. Additionally, reconsidering substantial rent increases upon lease renewal would help maintain tenant satisfaction and retention."
Cypress at Stone Oak Apartments,180_days,"Mixed reviews with positive feedback about staff and property maintenance, but recurring issues with cleanliness, maintenance, and management practices.","[""Buildings have unpleasant odors like cigarette smoke, mold, and dog urine"", ""Pool maintenance is lacking with green water and unpleasant smells"", ""Management practices like nickel-and-diming tenants, delayed security deposit returns, mandatory covered parking without assigned spots, and unexpected rent increases"", ""Poor maintenance response, security issues, and lack of care during emergencies like fires""]","[""Address the building odors by implementing stricter cleanliness protocols and investing in air quality improvement systems"", ""Improve pool maintenance to ensure water quality and safety for residents"", ""Review and revise management practices to be more transparent, fair, and customer-friendly"", ""Enhance maintenance response times and emergency protocols to prioritize resident safety and well-being""]"
Cypress at Stone Oak Apartments,365_days,Mixed,"[{""issue"": ""Maintenance and cleanliness problems"", ""frequency"": 8}, {""issue"": ""Security concerns (break-ins)"", ""frequency"": 7}, {""issue"": ""Hidden fees"", ""frequency"": 5}, {""issue"": ""Lack of gate functionality"", ""frequency"": 4}, {""issue"": ""Unresponsive or unhelpful staff"", ""frequency"": 3}, {""issue"": ""Roach infestation"", ""frequency"": 3}]","{""maintenance_and_cleanliness"": ""Prioritize thorough and timely maintenance, including addressing cleanliness issues like smells, trash, and pool maintenance. Ensure proper training for maintenance staff."", ""security_concerns"": ""Enhance security measures, such as fixing gates promptly, improving lighting, and working with local authorities to address safety concerns."", ""hidden_fees"": ""Increase transparency in financial dealings, clearly communicate all fees upfront, and avoid charging excessive cleaning fees."", ""staff_training"": ""Invest in staff training for better customer service and responsiveness to tenant concerns. Encourage a customer-centric approach and open communication channels."", ""roach_infestation"": ""Implement a robust pest control program to address roach infestations promptly and prevent further occurrences.""}"
District at Linworth of Worthington Apartments,90_days,"Overall, the residents are very satisfied with the helpful and dedicated staff at District at Linworth of Worthington Apartments.","[""High turnover of staff leading to difficulties and confusion for residents"", ""Issues with billing and communication causing frustration among residents"", ""Perceived overpricing for the quality of management and services provided""]","[""Improve staff retention to provide consistency and better service for residents"", ""Enhance communication processes to ensure residents are informed about billing and other important matters"", ""Reevaluate pricing to align with the quality of management and services offered""]"
District at Linworth of Worthington Apartments,120_days,"Overall, the reviews are overwhelmingly positive with a focus on the helpful and friendly staff, particularly the Property Manager Taylor.","[""Frequent turnover of staff causing communication and billing issues"", ""Issues with timely communication and handling of bills and fees"", ""Gym equipment is outdated and in need of upgrades""]","[""Management should work on reducing staff turnover to improve consistency and communication with residents"", ""Improvements needed in handling billing processes to avoid confusion and ensure timely responses"", ""Consider updating the gym equipment to provide residents with better amenities and value for their money""]"
District at Linworth of Worthington Apartments,180_days,"Mixed reviews with a strong positive sentiment towards the current property manager Taylor and the office staff. However, there are significant concerns regarding management practices and issues with communication, cleanliness, billing, and maintenance.","[""Frequent changes in staff"", ""Issues with communication and transparency"", ""Poor cleanliness in common areas like the gym and pool"", ""High utility bills and mandatory internet service"", ""Inaccurate billing practices and delays in resolving financial matters""]","[""Improve staff retention to provide consistent service to residents"", ""Enhance communication with residents to ensure clarity on policies and procedures"", ""Implement stricter cleaning protocols for common areas like the gym and pool"", ""Review utility billing system to ensure accuracy and transparency"", ""Address maintenance issues promptly and improve overall maintenance response times""]"
District at Linworth of Worthington Apartments,365_days,Mixed,"[""High fees and hidden charges"", ""Poor maintenance and cleanliness of amenities"", ""Inconsistencies and miscommunication with leasing agreements"", ""Lack of accountability from management"", ""Issues with trash disposal services and parking""]","[""Address the high fees and hidden charges by providing more transparency and options for residents"", ""Improve maintenance and cleanliness of amenities like the gym, pool, and trash disposal areas"", ""Enhance communication and consistency in leasing agreements with potential residents"", ""Implement measures to ensure accountability from management towards residents' concerns and issues"", ""Revise the trash disposal system and parking arrangements to better accommodate resident needs""]"
Dock Street Flats North Loop Apartments,90_days,Unable to parse JSON from response.,[],[]
Dock Street Flats North Loop Apartments,120_days,Mixed,"[""Safety concerns with homeless individuals gaining access to the building"", ""Lack of cleanliness in common areas leading to mental health issues"", ""Poor pest control resulting in recurring fruit fly infestations"", ""Pressure tactics for lease renewals causing distress to tenants""]","[""Implement better security measures to prevent unauthorized individuals from entering the building"", ""Address cleanliness issues promptly by implementing a regular cleaning schedule for common areas"", ""Improve pest control measures to eliminate fruit fly infestations"", ""Avoid using aggressive or manipulative tactics during lease renewals to foster a positive tenant-landlord relationship""]"
Dock Street Flats North Loop Apartments,180_days,"Mixed with strong negative feedback regarding safety, cleanliness, management, and communication issues","[""Safety concerns due to homeless individuals in building"", ""Poor cleanliness including persistent pests like fruit flies and dirty common areas"", ""Unprofessional and manipulative management tactics"", ""High utility costs not properly disclosed"", ""Inconsistent maintenance and slow response times"", ""Lack of communication between staff members and with residents""]","[""Enhance building security measures to ensure residents' safety"", ""Implement regular and thorough cleaning routines to address pests and maintain cleanliness"", ""Provide transparent disclosure of utility costs upfront to avoid surprises for tenants"", ""Improve communication within the management team and with residents"", ""Streamline maintenance processes for quicker response times"", ""Train staff on professionalism and avoid manipulative practices""]"
Dock Street Flats North Loop Apartments,365_days,Mixed reviews with a recurring theme of poor management and communication issues.,"[""Poor building maintenance including dirty common areas and infestations"", ""Issues with high utility costs and hidden fees"", ""Pushy and manipulative management tactics during lease renewals""]","[""Improve building maintenance and cleanliness to address issues like infestations"", ""Enhance transparency and communication with tenants regarding utility costs and fees"", ""Avoid using pushy and manipulative tactics during lease renewals, focus on providing a positive tenant experience""]"
